date, value
2013/9/9,1386
2013/9/10,1373
2013/9/11,1365.25
2013/9/12,1340.25
2013/9/13,1308.25
2013/9/16,1314.75
2013/9/17,1317.25
2013/9/18,1299.75
2013/9/19,1363.5
2013/9/20,1355.25
2013/9/23,1321.75
2013/9/24,1316.5
2013/9/25,1320.25
2013/9/26,1332.5
2013/9/27,1321.5
2013/9/30,1335.75
2013/10/1,1332.25
2013/10/2,1293.75
2013/10/3,1309
2013/10/4,1316
2013/10/7,1311
2013/10/8,1321
2013/10/9,1309.5
2013/10/10,1298
2013/10/11,1285.75
2013/10/14,1276
2013/10/15,1255.5
2013/10/16,1278.25
2013/10/17,1308.5
2013/10/18,1317
2013/10/21,1316
2013/10/22,1311.75
2013/10/23,1333
2013/10/24,1336.25
2013/10/25,1341.75
2013/10/28,1351
2013/10/29,1346.75
2013/10/30,1349.5
2013/10/31,1333.75
2013/11/1,1314.75
2013/11/4,1314.25
2013/11/5,1311.25
2013/11/6,1317
2013/11/7,1316
2013/11/8,1309
2013/11/11,1283.75
2013/11/12,1281
2013/11/13,1276
2013/11/14,1283.25
2013/11/15,1281.75
2013/11/18,1283.5
2013/11/19,1272.25
2013/11/20,1271.5
2013/11/21,1248.5
2013/11/22,1241.75
2013/11/25,1231.75
2013/11/26,1250.75
2013/11/27,1250.75
2013/11/28,1241.75
2013/11/29,1245.25
2013/12/2,1237.5
2013/12/3,1219
2013/12/4,1213
2013/12/5,1234
2013/12/6,1230.75
2013/12/9,1228.5
2013/12/10,1245.75
2013/12/11,1255.25
2013/12/12,1243.5
2013/12/13,1222.75
2013/12/16,1229.5
2013/12/17,1237.25
2013/12/18,1233.25
2013/12/19,1205.25
2013/12/20,1195
2013/12/23,1192.75
2013/12/24,1196.5
2013/12/27,1209.25
2013/12/30,1201.5
2013/12/31,1201.5
2014/1/2,1219.75
2014/1/3,1232.25
2014/1/6,1238
2014/1/7,1237.5
2014/1/8,1226.5
2014/1/9,1226
2014/1/10,1232.25
2014/1/13,1246
2014/1/14,1248.75
2014/1/15,1238
2014/1/16,1237.25
2014/1/17,1241
2014/1/20,1254.75
2014/1/21,1247.75
2014/1/22,1239.5
2014/1/23,1244.25
2014/1/24,1259.25
2014/1/27,1270
2014/1/28,1253.5
2014/1/29,1254.75
2014/1/30,1254
2014/1/31,1246.5
2014/2/3,1246.5
2014/2/4,1253
2014/2/5,1257
2014/2/6,1258.5
2014/2/7,1260
2014/2/10,1273.5
2014/2/11,1282.75
2014/2/12,1286.5
2014/2/13,1290.25
2014/2/14,1308.5
2014/2/17,1326
2014/2/18,1314
2014/2/19,1318.75
2014/2/20,1313.75
2014/2/21,1320.75
2014/2/24,1333
2014/2/25,1332.75
2014/2/26,1340
2014/2/27,1331
2014/2/28,1327.75
2014/3/3,1344.25
2014/3/4,1339.5
2014/3/5,1333.5
2014/3/6,1334.25
2014/3/7,1348.25
2014/3/10,1334.25
2014/3/11,1348
2014/3/12,1355.75
2014/3/13,1371
2014/3/14,1370
2014/3/17,1379
2014/3/18,1362.5
2014/3/19,1346
2014/3/20,1327
2014/3/21,1338.5
2014/3/24,1322
2014/3/25,1314.75
2014/3/26,1314.5
2014/3/27,1295
2014/3/28,1295.75
2014/3/31,1294
2014/4/1,1286.5
2014/4/2,1284
2014/4/3,1287.25
2014/4/4,1293.5
2014/4/7,1299
2014/4/8,1314.75
2014/4/9,1309.75
2014/4/10,1321.5
2014/4/11,1317.25
2014/4/14,1324.5
2014/4/15,1311.5
2014/4/16,1299
2014/4/17,1299.25
2014/4/22,1290.75
2014/4/23,1283.5
2014/4/24,1283.5
2014/4/25,1294.25
2014/4/28,1302
2014/4/29,1289.75
2014/4/30,1292
2014/5/1,1283
2014/5/2,1285
2014/5/6,1308.5
2014/5/7,1311
2014/5/8,1291.25
2014/5/9,1289
2014/5/12,1292.75
2014/5/13,1292.75
2014/5/14,1300.25
2014/5/15,1303.75
2014/5/16,1293.75
2014/5/19,1301
2014/5/20,1291.5
2014/5/21,1292
2014/5/22,1294.5
2014/5/23,1292
2014/5/27,1283
2014/5/28,1265.25
2014/5/29,1254
2014/5/30,1254
2014/6/2,1244.75
2014/6/3,1244.25
2014/6/4,1246
2014/6/5,1244.75
2014/6/6,1254
2014/6/9,1255
2014/6/10,1253.5
2014/6/11,1262.5
2014/6/12,1261.75
2014/6/13,1273
2014/6/16,1281.75
2014/6/17,1264.5
2014/6/18,1269
2014/6/19,1282
2014/6/20,1310
2014/6/23,1313.5
2014/6/24,1323
2014/6/25,1312
