Date,Price,Open,High,Low,Vol.,Change %
7-Jun-10,1340.82 ,"1,359.30","1,359.91","1,308.75",-,-1.46%
4-Jun-10,1360.74 ,"1,390.36","1,417.40","1,352.29",-,-2.32%
3-Jun-10,1393.12 ,"1,383.63","1,423.42","1,383.63",-,0.67%
2-Jun-10,1383.87 ,"1,373.65","1,387.66","1,345.67",-,0.73%
1-Jun-10,1373.87 ,"1,384.47","1,386.53","1,335.34",-,-0.77%
31-May-10,1384.59 ,"1,366.18","1,384.59","1,354.71",-,1.29%
28-May-10,1366.90 ,"1,358.60","1,380.16","1,352.35",-,0.61%
27-May-10,1358.60 ,"1,304.44","1,362.37","1,295.43",-,4.09%
26-May-10,1305.25 ,"1,227.55","1,305.78","1,227.40",-,6.41%
25-May-10,1226.57 ,"1,314.33","1,317.40","1,224.73",-,-6.49%
24-May-10,1311.70 ,"1,297.91","1,329.98","1,293.21",-,1.06%
21-May-10,1297.91 ,"1,303.65","1,326.99","1,279.19",-,-0.41%
20-May-10,1303.24 ,"1,379.74","1,397.41","1,300.91",-,-5.55%
19-May-10,1379.88 ,"1,438.94","1,441.00","1,371.74",-,-4.10%
18-May-10,1438.94 ,"1,422.91","1,447.01","1,408.66",-,1.14%
17-May-10,1422.72 ,"1,441.68","1,445.00","1,392.78",-,-1.32%
14-May-10,1441.68 ,"1,475.08","1,478.81","1,436.06",-,-2.33%
13-May-10,1476.03 ,"1,485.36","1,513.68","1,458.84",-,-0.63%
12-May-10,1485.36 ,"1,420.37","1,490.72","1,412.86",-,4.56%
11-May-10,1420.54 ,"1,371.29","1,430.36","1,361.31",-,3.70%
7-May-10,1369.91 ,"1,450.47","1,450.47","1,362.47",-,-5.55%
6-May-10,1450.47 ,"1,482.67","1,487.44","1,450.47",-,-0.97%
5-May-10,1464.65 ,"1,517.82","1,523.39","1,464.65",-,-3.50%
4-May-10,1517.83 ,"1,572.84","1,581.32","1,517.62",-,-3.50%
30-Apr-10,1572.84 ,"1,587.94","1,592.26","1,569.07",-,-1.00%
29-Apr-10,1588.75 ,"1,563.10","1,589.37","1,558.02",-,1.64%
28-Apr-10,1563.10 ,"1,603.39","1,603.39","1,555.24",-,-2.52%
27-Apr-10,1603.59 ,"1,626.10","1,626.82","1,594.28",-,-1.38%
26-Apr-10,1626.10 ,"1,604.86","1,633.19","1,599.93",-,1.44%
23-Apr-10,1602.99 ,"1,583.90","1,606.16","1,582.66",-,1.23%
22-Apr-10,1583.54 ,"1,610.23","1,619.37","1,577.88",-,-1.66%
21-Apr-10,1610.23 ,"1,619.43","1,631.27","1,605.77",-,-0.57%
20-Apr-10,1619.43 ,"1,601.32","1,626.45","1,597.81",-,1.11%
19-Apr-10,1601.67 ,"1,642.82","1,645.76","1,580.34",-,-2.49%
16-Apr-10,1642.57 ,"1,676.27","1,677.51","1,642.45",-,-2.01%
15-Apr-10,1676.27 ,"1,673.41","1,685.60","1,665.18",-,0.17%
14-Apr-10,1673.41 ,"1,643.91","1,673.59","1,643.55",-,1.79%
13-Apr-10,1643.98 ,"1,648.43","1,653.63","1,636.32",-,-0.27%
12-Apr-10,1648.43 ,"1,631.71","1,658.74","1,624.52",-,1.02%
9-Apr-10,1631.81 ,"1,600.84","1,636.04","1,599.63",-,1.93%
8-Apr-10,1600.84 ,"1,613.94","1,617.97","1,586.57",-,-0.81%
7-Apr-10,1613.88 ,"1,633.32","1,637.28","1,611.13",-,-1.19%
6-Apr-10,1633.32 ,"1,626.79","1,642.37","1,617.95",-,0.40%
5-Apr-10,1626.79 ,"1,614.45","1,627.37","1,613.02",-,0.76%
2-Apr-10,1614.45 ,"1,608.44","1,622.35","1,606.24",-,0.38%
1-Apr-10,1608.39 ,"1,572.48","1,611.45","1,569.60",-,2.28%
31-Mar-10,1572.48 ,"1,562.09","1,584.72","1,556.02",-,0.65%
30-Mar-10,1562.29 ,"1,551.70","1,570.26","1,551.51",-,0.69%
29-Mar-10,1551.57 ,"1,522.48","1,552.38","1,514.60",-,2.09%
26-Mar-10,1519.87 ,"1,515.22","1,527.22","1,507.36",-,0.32%
25-Mar-10,1515.04 ,"1,513.67","1,519.81","1,504.60",-,0.03%
24-Mar-10,1514.58 ,"1,526.63","1,531.20","1,506.17",-,-0.68%
23-Mar-10,1524.96 ,"1,527.88","1,545.92","1,518.29",-,-0.04%
22-Mar-10,1525.59 ,"1,546.34","1,546.68","1,509.56",-,-1.24%
19-Mar-10,1544.71 ,"1,560.04","1,564.54","1,540.74",-,-0.90%
18-Mar-10,1558.80 ,"1,563.73","1,572.63","1,547.41",-,-0.30%
17-Mar-10,1563.46 ,"1,536.74","1,569.77","1,534.36",-,1.74%
16-Mar-10,1536.79 ,"1,514.72","1,536.79","1,512.64",-,1.48%
15-Mar-10,1514.40 ,"1,534.68","1,536.24","1,513.07",-,-1.32%
12-Mar-10,1534.68 ,"1,503.54","1,544.09","1,502.07",-,2.04%
11-Mar-10,1504.04 ,"1,501.40","1,516.74","1,495.14",-,0.18%
10-Mar-10,1501.40 ,"1,502.48","1,515.81","1,495.91",-,-0.09%
9-Mar-10,1502.70 ,"1,508.20","1,515.84","1,488.01",-,-0.37%
5-Mar-10,1508.21 ,"1,468.71","1,508.76","1,468.39",-,2.57%
4-Mar-10,1470.41 ,"1,460.05","1,480.23","1,449.50",-,0.70%
3-Mar-10,1460.20 ,"1,445.09","1,463.74","1,438.05",-,1.01%
2-Mar-10,1445.62 ,"1,427.35","1,448.02","1,424.46",-,1.11%
1-Mar-10,1429.77 ,"1,408.57","1,432.89","1,402.90",-,1.34%
27-Feb-10,1410.85 ,"1,389.80","1,413.43","1,388.29",-,1.48%
26-Feb-10,1390.25 ,"1,373.36","1,393.82","1,368.73",-,1.25%
25-Feb-10,1373.11 ,"1,401.56","1,412.27","1,363.96",-,-2.02%
24-Feb-10,1401.48 ,"1,423.13","1,427.87","1,392.85",-,-1.52%
19-Feb-10,1423.13 ,"1,410.85","1,423.13","1,381.55",-,0.87%
18-Feb-10,1410.85 ,"1,421.97","1,427.30","1,396.85",-,-0.78%
17-Feb-10,1421.97 ,"1,418.00","1,436.70","1,413.85",-,0.27%
16-Feb-10,1418.16 ,"1,377.17","1,418.16","1,374.73",-,3.06%
15-Feb-10,1375.99 ,"1,363.83","1,377.08","1,362.89",-,0.89%
12-Feb-10,1363.83 ,"1,391.94","1,406.74","1,355.95",-,-2.02%
11-Feb-10,1391.94 ,"1,387.11","1,410.71","1,384.38",-,0.35%
10-Feb-10,1387.11 ,"1,390.29","1,417.65","1,380.29",-,-0.23%
9-Feb-10,1390.32 ,"1,376.42","1,399.71","1,374.32",-,1.09%
8-Feb-10,1375.34 ,"1,411.51","1,421.37","1,372.83",-,-2.54%
5-Feb-10,1411.14 ,"1,462.25","1,466.95","1,394.19",-,-3.55%
4-Feb-10,1463.01 ,"1,507.59","1,514.07","1,459.38",-,-2.93%
3-Feb-10,1507.15 ,"1,498.75","1,530.00","1,497.47",-,0.56%
2-Feb-10,1498.75 ,"1,470.94","1,499.19","1,469.17",-,1.90%
1-Feb-10,1470.79 ,"1,473.81","1,473.84","1,452.08",-,-0.20%
29-Jan-10,1473.81 ,"1,458.14","1,474.13","1,444.10",-,0.88%
28-Jan-10,1460.98 ,"1,448.11","1,478.39","1,440.50",-,1.01%
27-Jan-10,1446.36 ,"1,444.87","1,462.19","1,424.88",-,0.14%
26-Jan-10,1444.33 ,"1,485.53","1,489.63","1,431.92",-,-2.80%
25-Jan-10,1485.92 ,"1,491.27","1,501.32","1,471.56",-,-0.24%
22-Jan-10,1489.46 ,"1,530.53","1,533.18","1,480.15",-,-2.67%
21-Jan-10,1530.29 ,"1,556.33","1,564.31","1,527.33",-,-1.71%
20-Jan-10,1556.97 ,"1,580.63","1,590.02","1,555.92",-,-1.50%
19-Jan-10,1580.67 ,"1,581.09","1,588.96","1,556.26",-,-0.03%
18-Jan-10,1581.09 ,"1,559.25","1,581.09","1,551.99",-,1.40%
15-Jan-10,1559.25 ,"1,561.91","1,573.90","1,553.83",-,-0.17%
14-Jan-10,1561.91 ,"1,538.37","1,561.91","1,538.22",-,1.53%
13-Jan-10,1538.43 ,"1,535.78","1,548.46","1,512.81",-,0.17%
12-Jan-10,1535.78 ,"1,550.20","1,559.75","1,528.09",-,-1.11%
11-Jan-10,1553.06 ,"1,444.70","1,561.80","1,444.70",-,7.51%
31-Dec-09,1444.61 ,"1,426.93","1,448.86","1,426.93",-,1.24%
30-Dec-09,1426.93 ,"1,444.91","1,444.91","1,426.12",-,-1.26%
29-Dec-09,1445.17 ,"1,452.77","1,455.32","1,437.89",-,-0.44%
28-Dec-09,1451.60 ,"1,451.68","1,457.14","1,448.85",-,0.09%
25-Dec-09,1450.25 ,"1,443.61","1,451.11","1,439.60",-,0.46%
24-Dec-09,1443.61 ,"1,434.66","1,457.60","1,432.01",-,0.63%
23-Dec-09,1434.60 ,"1,421.03","1,437.24","1,413.34",-,1.23%
22-Dec-09,1417.22 ,"1,425.60","1,428.10","1,411.44",-,-0.58%
21-Dec-09,1425.45 ,"1,411.32","1,430.36","1,405.27",-,1.08%
18-Dec-09,1410.22 ,"1,403.85","1,429.67","1,399.59",-,0.66%
17-Dec-09,1400.91 ,"1,448.92","1,456.73","1,398.74",-,-3.32%
